Wendy's groceries sales report,,,,,,,Legacy Liquor Store,,,,,,,,,,,,,,,,,,,,
"Txn Date [1/7/2016] To [31/12/2016]Category[] To [ZZ], Subcategory[] To [ZZZZ]Vendor[] To [ZZZZZZ]Item #[] To [ZZZZZZZZZZZZZZZZZZZZ]Salesperson [] To [ZZZZZZ]Based on Sales Amount>=-99999Item Status =  Active, Discontinued, Dormant, Future""Qty Sold"" Includes ""Kit Sold"" QtySort by Category/Subcategory, then by Item Description
",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,On Hand,,Combo packs sold,,,,,Qty Sold,,Gross Sales,,Discounts,,Net Sales,,COGS,,TOTAL LOGS,,Gross profit,,Profit Margin,,,,
Subcategory : 4030 RUM-JAM,,866,,0,,,,,144,,4 843.93,,2.53,,4 841.40,,3 602.57,,960.62,,278.21,,5.75,,,,
Subcategory : 4040 TEQUILA-MEX,,711,,0,,,,,137,,6 243.06,,0.00,,6 243.06,,4 700.15,,1 253.28,,289.63,,4.64,,,,
Subcategory : 4050 VODKA-RUS,,989,,0,,,,,164,,5 506.67,,5.67,,5 501.00,,4 052.84,,1 080.68,,367.48,,6.68,,,,
Subcategory : 4051 VODKA FLAVOURED-LAT,,2 087,,0,,,,,75,,2 433.89,,2.63,,2 431.26,,1 817.34,,484.59,,129.33,,5.32,,,,
Subcategory : 4055 WHISKEY OTHER-LAO,,129,,0,,,,,16,,1 182.48,,0.00,,1 182.48,,909.52,,242.52,,30.44,,2.57,,,,
Subcategory : 4060 WHISKEY SCOTCH-UK,,1 290,,0,,,,,97,,9 969.71,,155.00,,9 814.71,,7 448.24,,1 986.05,,380.42,,3.88,,,,
Subcategory : 4065 WHISKY CANADA-CAN,,295,,0,,,,,54,,1 877.56,,2.33,,1 875.23,,1 366.23,,364.30,,144.70,,7.72,,,,
Subcategory : 4070 WHISKEY IRISH-IRE,,59,,0,,,,,16,,575.96,,5.24,,570.72,,447.22,,119.25,,4.25,,0.74,,,,
Subcategory : 4075 GRAPPA-ITA,,97,,0,,,,,3,,229.96,,0.00,,229.96,,171.66,,45.77,,12.53,,5.45,,,,
Subcategory : 4080 WHISKEY AMERICAN-USA,,449,,0,,,,,85,,3 137.63,,0.00,,3 137.63,,2 445.65,,652.13,,39.85,,1.27,,,,
Category : 40 Spirits,,14 260,,0,,,,,1 607,,52 581.45,,210.48,,52 370.97,,39 205.26,,10 453.97,,2 711.74,,5.18,,,,
Category : 50 Wine,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,
Subcategory : 5010 APERTIF-ITA,,44,,0,,,,,24,,542.73,,1.12,,541.61,,399.96,,106.65,,35.00,,6.46,,,,
Subcategory : 5015 PRT CANADA-CAN,,31,,0,,,,,3,,71.00,,0.00,,71.00,,47.47,,12.66,,10.87,,15.31,,,,
Subcategory : 5020 PRT PRTUGAL-PRT,,128,,0,,,,,8,,252.13,,0.00,,252.13,,171.67,,45.78,,34.68,,13.76,,,,
Subcategory : 5035 SHERRY SPAIN-SPA,,95,,0,,,,,4,,85.36,,0.00,,85.36,,58.44,,15.58,,11.34,,13.28,,,,
Subcategory : 5045 SPARKLING-CAN,,165,,0,,,,,38,,920.48,,0.00,,920.48,,626.58,,167.08,,126.82,,13.78,,,,
Subcategory : 5050 SPARKLING-IND,,602,,0,,,,,163,,2 966.71,,3.38,,2 963.33,,2 098.51,,559.56,,305.26,,10.3,,,,
Subcategory : 5060 CHAMPAGNE-FRA,,154,,0,,,,,15,,1 008.92,,0.00,,1 008.92,,748.69,,199.64,,60.59,,6.01,,,,
Subcategory : 5063 FRUIT WINES-GER,,97,,0,,,,,12,,285.65,,0.00,,285.65,,190.21,,50.72,,44.72,,15.66,,,,
Subcategory : 5064 DESSERT WINES-FRA,,216,,0,,,,,10,,264.27,,10.91,,253.36,,179.09,,47.75,,26.52,,10.47,,,,
Subcategory : 5065 VERMOUTH-UK,,103,,0,,,,,30,,747.35,,4.34,,743.01,,527.68,,140.70,,74.63,,10.04,,,,
Subcategory : 5070 HALF BOTTLE-RUS,,387,,0,,,,,19,,392.89,,0.00,,392.89,,265.19,,70.71,,56.99,,14.5,,,,
Subcategory : 5075 LARGER FORMAT-RUS,,106,,0,,,,,38,,902.47,,0.00,,902.47,,601.00,,160.25,,141.22,,15.65,,,,
Subcategory : 5085 MEAD-RUS,,80,,0,,,,,2,,43.57,,0.00,,43.57,,28.43,,7.58,,7.56,,17.35,,,,
