Sludinājumidatums_2,Ist.,m2,Stāvs,Stavs,Sērija,Cena,"Cena, m2",Ielas nosaukums,Ielas numurs,Iela full,Rajons,Merged,Year
"Skaists, gaišs un plašs 3-istabu dzīvoklis jaunajā projektā Lāčp",3,93,2/7,2,Jaun.,"397,950",4279.032258,Lāčplēša,11,centrs Lāčplēša 11,centrs,"Latvia, Riga, centrs Lāčplēša 11",2019
Lat/rus/eng. Pārdošanai tiek piedāvāts dzīvoklis Rīgas centrā ar,4,115,4/6,4,Jaun.,"295,000",2565.217391,Ausekļa,4,centrs Ausekļa 4,centrs,"Latvia, Riga, centrs Ausekļa 4",2019
Pārdod dzīvokli par kuru noteikti var teikt - īsta Luxury pērle,2,107,4/6,4,Jaun.,"250,000",2336.448598,Audēju,14,centrs Audēju 14,centrs,"Latvia, Riga, centrs Audēju 14",2019
"Piedāvājam iegādāties ekskluzīvu 2-līmeņu penthausu ""Skanstes vi",4,242,23/24,23,Jaun.,"439,999",1818.177686,Skanstes,Х,centrs Skanstes Х,centrs,"Latvia, Riga, centrs Skanstes Х",2019
"Резиденция Философов – это посвящение будущим жителям, каждый из",3,91,10/23,10,Jaun.,"252,600",2775.824176,Valdemāra,33,centrs Valdemāra 33,centrs,"Latvia, Riga, centrs Valdemāra 33",2019
Pārdod dzīvokli bez apdares jaunajā premium klases projektā ar s,2,50,7/9,7,Jaun.,"80,000",1600,Klijānu,16,centrs Klijānu 16,centrs,"Latvia, Riga, centrs Klijānu 16",2019
"Īpašnieks pārdod Alauksta ielā 9-21, Rīgā plašu, saulainu 4-ista",4,140,5/6,5,Jaun.,"175,375",1252.678571,Alauksta,9,centrs Alauksta 9,centrs,"Latvia, Riga, centrs Alauksta 9",2019
"Īpašnieks pārdod Alauksta ielā 9-30, Rīgā plašu, saulainu 4-ista",4,170,6/6,6,Jaun.,"185,000",1088.235294,Alauksta,9,centrs Alauksta 9,centrs,"Latvia, Riga, centrs Alauksta 9",2019
"Tiek pārdots izremontēts 2-istabu dzīvoklis Rīgas centrā, prestī",2,45,5/7,5,Jaun.,"111,000",2466.666667,Rūpniecības,44,centrs Rūpniecības 44,centrs,"Latvia, Riga, centrs Rūpniecības 44",2019
Īpašnieks bez starpniekiem pārdod mēbelētu un pilnībā aprīkotu d,2,63,4/5,4,Jaun.,"142,000",2253.968254,Indrānu,5,centrs Indrānu 5,centrs,"Latvia, Riga, centrs Indrānu 5",2019
"Pārdodu pilnīgi jaunu, ideālu dzīvokli, ērtai pilsētas dzīves ba",2,37,3/6,3,Jaun.,"68,450",1850,Lāčplēša,127,centrs Lāčplēša 127,centrs,"Latvia, Riga, centrs Lāčplēša 127",2019
Lat/rus Tiek pārdots dzīvoklis ar svaigu remontu jaunājā projek,3,99,4/7,4,Jaun.,"175,000",1767.676768,Pulkv. Brieža,21,centrs Pulkv. Brieža 21,centrs,"Latvia, Riga, centrs Pulkv. Brieža 21",2019
Pārdod vai Izīrē ar izpirkuma tiesībām 3-istabu dzīvokli ar piln,3,63,4/9,4,Jaun.,"124,500",1976.190476,Klijānu,16,centrs Klijānu 16,centrs,"Latvia, Riga, centrs Klijānu 16",2019
"Pārdodu biroju-dzīvokli, lieliskā mājā, iežogota, apsargājama te",1,15,1/8,1,Jaun.,"12,700",846.6666667,Ganību d.,13/1,centrs Ganību d. 13/1,centrs,"Latvia, Riga, centrs Ganību d. 13/1",2019
Продается 3х комнатная квартира в новом проекте Art Luxury House,3,94,2/7,2,Jaun.,"224,500",2388.297872,Strēlnieku,7,centrs Strēlnieku 7,centrs,"Latvia, Riga, centrs Strēlnieku 7",2019
Обустроенная квартира на продажу в новом проекте Park Alley - Rū,3,112,2/5,2,Jaun.,"259,900",2320.535714,Rūpniecības,44,centrs Rūpniecības 44,centrs,"Latvia, Riga, centrs Rūpniecības 44",2019
Pārdod dzīvokli bez apdares jaunajā premium klases projektā ar s,3,64,7/9,7,Jaun.,"109,000",1703.125,Klijānu,16,centrs Klijānu 16,centrs,"Latvia, Riga, centrs Klijānu 16",2019
"Dzīvoklis atrodas projektā ""Duntes Ozoli"". 2 istabas – viena – s",2,52,9/16,9,Jaun.,"85,000",1634.615385,Duntes,28,centrs Duntes 28,centrs,"Latvia, Riga, centrs Duntes 28",2019
На продажу предлагается просторная и солнечная квартира в новом,4,167,21/24,21,Jaun.,"320,000",1916.167665,Skanstes,29,centrs Skanstes 29,centrs,"Latvia, Riga, centrs Skanstes 29",2019
"Предлагается к продаже светлая и просторная квартира, общей площ",6,225,4/5,4,Jaun.,"331,000",1471.111111,Ganu,2,centrs Ganu 2,centrs,"Latvia, Riga, centrs Ganu 2",2019
"Pārdodu vienistabas dzīvokli, Ziedoņdārza apkaimē, Krāsotāju iel",1,29,2/4,2,Jaun.,"39,000",1344.827586,Krāsotāju,6,centrs Krāsotāju 6,centrs,"Latvia, Riga, centrs Krāsotāju 6",2019
Īpašnieks pārdod 3 istabu dzīvokli ar pazemes stāvvietu un mantu,3,80,9/10,9,Jaun.,"200,000",2500,Grostonas,19,centrs Grostonas 19,centrs,"Latvia, Riga, centrs Grostonas 19",2019
Piedāvājam iegādei plašu 2 istabu dzīvokli jaunajā projektā Club,2,70,3/6,3,Jaun.,"266,380",3805.428571,Lāčplēša,11,centrs Lāčplēša 11,centrs,"Latvia, Riga, centrs Lāčplēša 11",2019
"Предлагаем приобрести светлую, 3-х комнатную квартиру, расположе",3,102,2/7,2,Jaun.,"364,140",3570,Lāčplēša,11,centrs Lāčplēša 11,centrs,"Latvia, Riga, centrs Lāčplēša 11",2019
Piedāvājam iegādei gaišu 2 istabu dzīvokli jaunajā projektā Club,2,50,3/7,3,Jaun.,"182,210",3644.2,Lāčplēša,11,centrs Lāčplēša 11,centrs,"Latvia, Riga, centrs Lāčplēša 11",2019
Продаю красивую солнечную уютную 4х-комнатную квартиру в центре,4,110,5/6,5,Jaun.,"195,000",1772.727273,Ģertrūdes,105/1,centrs Ģertrūdes 105/1,centrs,"Latvia, Riga, centrs Ģertrūdes 105/1",2019
Tiek pārdots ekskluzīvs penthauss projektā Duntes Ozoli. Dzī,2,160,15/15,15,Jaun.,"176,000",1100,Duntes,28,centrs Duntes 28,centrs,"Latvia, Riga, centrs Duntes 28",2019
Pārdod kvalitatīvu un labiekārtotu 3-istabu dzīvokli Rīgas klusa,3,126,2/9,2,Jaun.,"190,000",1507.936508,Tomsona,30,centrs Tomsona 30,centrs,"Latvia, Riga, centrs Tomsona 30",2019
Pārdod dzīvokli bez apdares jaunajā premium klases projektā ar s,3,99,7/9,7,Jaun.,"145,000",1464.646465,Klijānu,16,centrs Klijānu 16,centrs,"Latvia, Riga, centrs Klijānu 16",2019
