Lapas numurs,Sludinājumidatums_2,Iela,Ist.,m2,Stāvs,Sērija,Veids,Cena,"Cena, m2",Ielas nosaukums,Ielas numurs,Adrese,Iela full,Rajons,Merged,Year
3,4-х комнатная кв-ра по супер цене. На одной из самых престижных улиц,,4,85,2,P. kara,Pardod,"89,900",1057.647059,Valdemāra,49,"Latvia, Riga,",centrs Valdemāra 49,centrs,"Latvia, Riga, centrs Valdemāra 49",2018
8,"Pārdod restaurētu, daļēji mēbelētu, dzīvokli. Kamīns, eļļotas dēļu g",,3,83,2,P. kara,Pardod,"129,900",1565.060241,Avotu,73,"Latvia, Riga,",centrs Avotu 73,centrs,"Latvia, Riga, centrs Avotu 73",2018
9,"Elegants 5 istabu dzīvoklis klusajā centrā, ar 4 guļamistabām, atsev",,5,133,2,P. kara,Pardod,"279,000",2097.744361,Strēlnieku,4,"Latvia, Riga,",centrs Strēlnieku 4,centrs,"Latvia, Riga, centrs Strēlnieku 4",2018
11,"Lv/rus/eng. Piedāvājām pārdošanai sauss, silts, gaišs, mēbelēts,",,3,60,2,P. kara,Pardod,"96,000",1600,Barona,60,"Latvia, Riga,",centrs Barona 60,centrs,"Latvia, Riga, centrs Barona 60",2018
11,Продается рабочий Хостел в хорошем состоянии с ремонтом. Все комнаты,,6,133,2,P. kara,Pardod,"152,700",1148.120301,Čaka,114,"Latvia, Riga,",centrs Čaka 114,centrs,"Latvia, Riga, centrs Čaka 114",2018
11,"Pārdod plašu dzīvokli Rīgas centrā, Raiņa bulvārī 31, jūgendstila ēk",,0,154,2,P. kara,Pardod,"280,000",1818.181818,Raiņa bulv.,31,"Latvia, Riga,",centrs Raiņa bulv. 31,centrs,"Latvia, Riga, centrs Raiņa bulv. 31",2018
12,En/ru/lv Продаётся красивая и солнечная квартира в центре Риги - бу,,3,124,2,P. kara,Pardod,"226,000",1822.580645,Kalpaka bulv.,10,"Latvia, Riga,",centrs Kalpaka bulv. 10,centrs,"Latvia, Riga, centrs Kalpaka bulv. 10",2018
13,"Tiek pārdots četristabu dzīvoklis centrā. Kopējā platība 101 m², dzī",,4,101,2,P. kara,Pardod,"80,000",792.0792079,Dagdas,4,"Latvia, Riga,",centrs Dagdas 4,centrs,"Latvia, Riga, centrs Dagdas 4",2018
20,"Продаю 4х комнатную квартиру, квартира и земля в собственности.",,4,73,2,P. kara,Pardod,"46,000",630.1369863,Krāsotāju,26,"Latvia, Riga,",centrs Krāsotāju 26,centrs,"Latvia, Riga, centrs Krāsotāju 26",2018
21,"Хозяин, без посредников, продаёт благоустроенную квартиру в центре г",,4,105,2,P. kara,Pardod,"135,000",1285.714286,Ģertrūdes,135,"Latvia, Riga,",centrs Ģertrūdes 135,centrs,"Latvia, Riga, centrs Ģertrūdes 135",2018
23,Īpašnieks pārdod studio tipa dzīvokli Rīgas centrā pagalma ēkā. Br,,2,57,2,P. kara,Pardod,"85,650",1502.631579,Čaka,36,"Latvia, Riga,",centrs Čaka 36,centrs,"Latvia, Riga, centrs Čaka 36",2018
23,Izīrē dzīvokli uz 1- 4nedēļām vai 2 -3-4 mēnešu īres periodu. Fasāde,,5,133,2,P. kara,Pardod,560,4.210526316,Strēlnieku,4,"Latvia, Riga,",centrs Strēlnieku 4,centrs,"Latvia, Riga, centrs Strēlnieku 4",2018
24,"Komfortabls, mēbelēts un aprīkots dzīvoklis ar kamīnu. + Ērts pl",,3,84,2,P. kara,Pardod,"90,000",1071.428571,Ganību d.,25,"Latvia, Riga,",centrs Ganību d. 25,centrs,"Latvia, Riga, centrs Ganību d. 25",2018
24,Īpašnieks pārdod dzīvokli tiko pēc remonta ar jaunu izbūvētu gāzes a,,3,70,2,P. kara,Pardod,"115,000",1642.857143,Dzirnavu,132,"Latvia, Riga,",centrs Dzirnavu 132,centrs,"Latvia, Riga, centrs Dzirnavu 132",2018
24,Pārdod īpašnieks Sagaidi jauno gadu savā jaunajā mājoklī. Lielisk,,2,35,2,P. kara,Pardod,"55,000",1571.428571,Dzirnavu,132,"Latvia, Riga,",centrs Dzirnavu 132,centrs,"Latvia, Riga, centrs Dzirnavu 132",2018
25,"Tiek pārdots saulains, kompakts dzīvoklis. Tas tiek piedāvāts ar i",,1,44,2,P. kara,Pardod,"88,500",2011.363636,Valdemāra,53,"Latvia, Riga,",centrs Valdemāra 53,centrs,"Latvia, Riga, centrs Valdemāra 53",2018
25,"Plašs un ļoti gaišs divistabu dzīvoklis-studio, kapitālā remonta nos",,2,52,2,P. kara,Pardod,"104,000",2000,Valdemāra,57,"Latvia, Riga,",centrs Valdemāra 57,centrs,"Latvia, Riga, centrs Valdemāra 57",2018
27,"Unikāls dzīvoklis, unikālā vietā – starp A. Briāna un Palīdzības iel",,4,90,2,P. kara,Pardod,"79,000",877.7777778,Briāna,16,"Latvia, Riga,",centrs Briāna 16,centrs,"Latvia, Riga, centrs Briāna 16",2018
27,Pārdošanā divu istabu dzīvoklis ar labu plānojumu. Viena izolēta guļ,,2,40,2,P. kara,Pardod,"38,000",950,Čaka,40,"Latvia, Riga,",centrs Čaka 40,centrs,"Latvia, Riga, centrs Čaka 40",2018
33,"Pārdod kvalitatīvu, gaišu, pilnībā mēbelētu 5-istabu dzīvokli ar vei",,5,148,2,P. kara,Pardod,"265,000",1790.540541,Valdemāra,75,"Latvia, Riga,",centrs Valdemāra 75,centrs,"Latvia, Riga, centrs Valdemāra 75",2018
35,Tiešais saimnieks bez starpniekiem piedāvā 6-istabu dzīvokli. П,,6,140,2,P. kara,Pardod,"186,000",1328.571429,Čaka,114,"Latvia, Riga,",centrs Čaka 114,centrs,"Latvia, Riga, centrs Čaka 114",2018
39,"Plašs trīsistabu dzīvoklis ar remontu, Centrā, Pirmskara laika mūra",,3,71,2,P. kara,Pardod,"77,700",1094.366197,Maskavas,81,"Latvia, Riga,",centrs Maskavas 81,centrs,"Latvia, Riga, centrs Maskavas 81",2018
41,Pārdod 1-istabas dzīvokli pretī Grīziņkalna parkam ar kopējo platību,,1,25,2,P. kara,Pardod,"17,500",700,Pērnavas,56,"Latvia, Riga,",centrs Pērnavas 56,centrs,"Latvia, Riga, centrs Pērnavas 56",2018
41,"Piedāvājumā 4-istabu dzīvoklis pirmskara ēkā, Kr. Valdemāra ielā, pr",,4,107,2,P. kara,Pardod,"139,200",1300.934579,Valdemāra,34,"Latvia, Riga,",centrs Valdemāra 34,centrs,"Latvia, Riga, centrs Valdemāra 34",2018
44,Pārdod trīsistabu dzīvokli Tērbatas ielā 82a. Kopējā platība 62kv.,,3,62,2,P. kara,Pardod,"82,000",1322.580645,Tērbatas,82a,"Latvia, Riga,",centrs Tērbatas 82a,centrs,"Latvia, Riga, centrs Tērbatas 82a",2018
45,Продаю квартиру в престижном месте. Дом находится в закрытом дворе.,,2,55,2,P. kara,Pardod,"99,000",1800,Ģertrūdes,34,"Latvia, Riga,",centrs Ģertrūdes 34,centrs,"Latvia, Riga, centrs Ģertrūdes 34",2018
45,Pārdod 2-3 istabu dzīvokli ar atvērtu plānojumu ļoti labā tehniskā u,,3,88,2,P. kara,Pardod,"97,000",1102.272727,Kazarmu,2A,"Latvia, Riga,",centrs Kazarmu 2A,centrs,"Latvia, Riga, centrs Kazarmu 2A",2018
46,"Срочная продажа. Ремонт, все удобства, все новые коммуникации, душ и",,1,20,2,P. kara,Pardod,"9,400",470,Lienes,27,"Latvia, Riga,",centrs Lienes 27,centrs,"Latvia, Riga, centrs Lienes 27",2018
46,"Предлагаем к продаже 3-комнатную квартиру в посольском районе, город",,3,90,2,P. kara,Pardod,"125,000",1388.888889,Ausekļa,20,"Latvia, Riga,",centrs Ausekļa 20,centrs,"Latvia, Riga, centrs Ausekļa 20",2018
47,"2istabu dzīvoklis atrodas vēsturiskā mūra ēku kompleksā, kas būvētas",,2,31,2,P. kara,Pardod,"39,000",1258.064516,Čaka,46,"Latvia, Riga,",centrs Čaka 46,centrs,"Latvia, Riga, centrs Čaka 46",2018
48,Arhitekta Eižena Laubes projektēta māja. Dzīvoklis ar ekskluzīvu apd,,3,110,2,P. kara,Pardod,"120,900",1099.090909,Avotu,20,"Latvia, Riga,",centrs Avotu 20,centrs,"Latvia, Riga, centrs Avotu 20",2018
53,Dzīvoklis jaunai ģimenei vai pārim. Pārdod īpašnieks. Pilsētas apk,,3,63,2,P. kara,Pardod,"95,000",1507.936508,Brīvības,133,"Latvia, Riga,",centrs Brīvības 133,centrs,"Latvia, Riga, centrs Brīvības 133",2018
53,"Piedāvājam mājīgu dzīvokli pilsētas centrā, pirmskara ēkā Dzirnavu i",,3,92,2,P. kara,Pardod,"115,000",1250,Dzirnavu,119,"Latvia, Riga,",centrs Dzirnavu 119,centrs,"Latvia, Riga, centrs Dzirnavu 119",2018
56,"Piedāvājuma gaišs un mājīgs 3-istabas dzīvoklis ar svaigu, un pilnu",,3,66,2,P. kara,Pardod,"98,600",1493.939394,Ganību d.,15,"Latvia, Riga,",centrs Ganību d. 15,centrs,"Latvia, Riga, centrs Ganību d. 15",2018
57,Tiek pārdots skaists un saulains dzīvoklis pāšā Rīgas sirdī - Kalpak,,3,124,2,P. kara,Pardod,"228,000",1838.709677,Kalpaka bulv.,10,"Latvia, Riga,",centrs Kalpaka bulv. 10,centrs,"Latvia, Riga, centrs Kalpaka bulv. 10",2018
58,"Izolētas istabas, balkons. Saulains dzīvoklis klusajā centrā, pirm",,3,72,2,P. kara,Pardod,"129,000",1791.666667,Tomsona,4,"Latvia, Riga,",centrs Tomsona 4,centrs,"Latvia, Riga, centrs Tomsona 4",2018
58,Renovētā pirmskara laika ēkā- pašā Rīgas centrā tiek piedāvāts pārdo,,3,114,2,P. kara,Pardod,"158,000",1385.964912,Čaka,44,"Latvia, Riga,",centrs Čaka 44,centrs,"Latvia, Riga, centrs Čaka 44",2018
58,Pārdošanā plašs dzīvoklis Rīgas centrā. Dzīvoklis atrodas vēstu,,3,90,2,P. kara,Pardod,"159,570",1773,Tērbatas,38,"Latvia, Riga,",centrs Tērbatas 38,centrs,"Latvia, Riga, centrs Tērbatas 38",2018
58,Pašā jūgendstila sirdī tiek pārdots plašs un gaišs 2-istabu dzīvokli,,2,104,2,P. kara,Pardod,"200,000",1923.076923,Vīlandes,8,"Latvia, Riga,",centrs Vīlandes 8,centrs,"Latvia, Riga, centrs Vīlandes 8",2018
59,Pārdod mājīgu trīsistabu dzīvokli Centrā. Zeme īpašumā. Logi uz mā,,3,71,2,P. kara,Pardod,"129,000",1816.901408,Tomsona,4,"Latvia, Riga,",centrs Tomsona 4,centrs,"Latvia, Riga, centrs Tomsona 4",2018
59,"Īpašnieks pārdod dzīvokli. Zeme īpašumā. Klusais centrs. Parkets, ie",,4,110,2,P. kara,Pardod,"170,000",1545.454545,Rūpniecības,16,"Latvia, Riga,",centrs Rūpniecības 16,centrs,"Latvia, Riga, centrs Rūpniecības 16",2018
60,Istabas: 2 atsevišķas + 1 virtuve Stavs: 2/4 Platība: 64.1 Adrese,,2,64,2,P. kara,Pardod,"78,300",1223.4375,Avotu,53,"Latvia, Riga,",centrs Avotu 53,centrs,"Latvia, Riga, centrs Avotu 53",2018
60,Продается квартира в тихом центре на втором этаже кирпичного дома. В,,1,26,2,P. kara,Pardod,"31,300",1203.846154,Pērnavas,39,"Latvia, Riga,",centrs Pērnavas 39,centrs,"Latvia, Riga, centrs Pērnavas 39",2018
62,Pārdošanai tiek piedāvāts vienistabas dzīvoklis Rīgas centrā Tērbata,,1,33,2,P. kara,Pardod,"64,000",1939.393939,Tērbatas,20,"Latvia, Riga,",centrs Tērbatas 20,centrs,"Latvia, Riga, centrs Tērbatas 20",2018
63,Pārdod 2 istabu dzīvokli Brīvības ielā 132 pie Tallinas ielas ar kop,,2,57,2,P. kara,Pardod,"59,000",1035.087719,Brīvības,132,"Latvia, Riga,",centrs Brīvības 132,centrs,"Latvia, Riga, centrs Brīvības 132",2018
66,"Pārdod 2-istu dzīvokli, kas atrodas lieliskā vietā – pašā pilsētas s",,2,54,2,P. kara,Pardod,"99,500",1842.592593,Elizabetes,9,"Latvia, Riga,",centrs Elizabetes 9,centrs,"Latvia, Riga, centrs Elizabetes 9",2018
66,Дом - исторический памятник Юнеско. В доме проведены ремонтные работ,,6,204,2,P. kara,Pardod,"306,000",1500,Eksporta,4,"Latvia, Riga,",centrs Eksporta 4,centrs,"Latvia, Riga, centrs Eksporta 4",2018
67,Pārdodu 4 istabu (izolētas) dzīvokli klusajā centrā. Iebūvētas mēbel,,4,100,2,P. kara,Pardod,"200,000",2000,Strēlnieku,19-17,"Latvia, Riga,",centrs Strēlnieku 19-17,centrs,"Latvia, Riga, centrs Strēlnieku 19-17",2018
70,"В квартире своё отопление-котёл. Ремонт, мет. дверь, стеклопакеты. В",,2,43,2,P. kara,Pardod,"36,350",845.3488372,Dagdas,1,"Latvia, Riga,",centrs Dagdas 1,centrs,"Latvia, Riga, centrs Dagdas 1",2018
71,Tiek pārdots 7 istabu dzīvoklis 168.3 kv. m. platībā ( 2 stāvs) pres,,6,168,2,P. kara,Pardod,"429,000",2553.571429,Alberta,7,"Latvia, Riga,",centrs Alberta 7,centrs,"Latvia, Riga, centrs Alberta 7",2018
77,Kapitāli izremontēts dzīvoklis Rīgas klusajā centrā. -Atrodas pag,,2,46,2,P. kara,Pardod,"108,000",2347.826087,Rūpniecības,16,"Latvia, Riga,",centrs Rūpniecības 16,centrs,"Latvia, Riga, centrs Rūpniecības 16",2018
77,Lielisks piedāvājums ar savu gāzes apkuri. Tiko pēc remonta. Atlaide,,3,68,2,P. kara,Pardod,"115,000",1691.176471,Dzirnavu,132,"Latvia, Riga,",centrs Dzirnavu 132,centrs,"Latvia, Riga, centrs Dzirnavu 132",2018
78,"Steidzami, tiek piedāvāts kompakts dzīvoklis ar kosmētisko remontu u",,1,25,2,P. kara,Pardod,"31,500",1260,Ģertrūdes,98,"Latvia, Riga,",centrs Ģertrūdes 98,centrs,"Latvia, Riga, centrs Ģertrūdes 98",2018
79,"Piedāvājuma gaišs un mājīgs 4-istabas dzīvoklis ar svaigu, un pilnu",,4,66,2,P. kara,Pardod,"98,600",1493.939394,Ganību d.,15,"Latvia, Riga,",centrs Ganību d. 15,centrs,"Latvia, Riga, centrs Ganību d. 15",2018
81,"Продается просторная 4-х комнатная квартира с ремонтов, в хорошем со",,4,112,2,P. kara,Pardod,"173,000",1544.642857,Bruņinieku,12,"Latvia, Riga,",centrs Bruņinieku 12,centrs,"Latvia, Riga, centrs Bruņinieku 12",2018
87,"Piedāvājumā burvīgs, renovēts dzīvoklis Upīša pasāžā. Plānojums:",,3,80,2,P. kara,Pardod,"167,000",2087.5,Dzirnavu,113,"Latvia, Riga,",centrs Dzirnavu 113,centrs,"Latvia, Riga, centrs Dzirnavu 113",2018
87,"Ir gāzes apkures tehniskie noteikumi, elektrība, ūdens, kanalizācija",,3,55,2,P. kara,Pardod,"20,890",379.8181818,Matīsa,82,"Latvia, Riga,",centrs Matīsa 82,centrs,"Latvia, Riga, centrs Matīsa 82",2018
88,"Dzīvoklis klusajā centrā mazdzīvokļu ēkā, sakoptā ielā ar atjaunotu",,2,57,2,P. kara,Pardod,"108,000",1894.736842,Ganu,3,"Latvia, Riga,",centrs Ganu 3,centrs,"Latvia, Riga, centrs Ganu 3",2018
89,"Īpašnieks pārdod Perspektīvu Dzīvokli Ēka atrodas iekšpagalmā, i",,4,91,2,P. kara,Pardod,"82,000",901.0989011,Lāčplēša,47/12,"Latvia, Riga,",centrs Lāčplēša 47/12,centrs,"Latvia, Riga, centrs Lāčplēša 47/12",2018
91,Pārdod kvalitatīvi renovētu dzīvokli Rīgas centrā. Dzīvoklis ir,,2,47,2,P. kara,Pardod,"84,000",1787.234043,Valdemāra,79/81,"Latvia, Riga,",centrs Valdemāra 79/81,centrs,"Latvia, Riga, centrs Valdemāra 79/81",2018
92,"Pārdod gaišu, mājīgu tikko pēc veikta kvalitatīva kapitālā remonta d",,3,75,2,P. kara,Pardod,"92,000",1226.666667,Laboratorijas,15,"Latvia, Riga,",centrs Laboratorijas 15,centrs,"Latvia, Riga, centrs Laboratorijas 15",2018
92,Piedāvājam plašu 4 istabu dzīvokli ar labu plānojumu Tērbatas un Tal,,4,109,2,P. kara,Pardod,"116,000",1064.220183,Tallinas,32,"Latvia, Riga,",centrs Tallinas 32,centrs,"Latvia, Riga, centrs Tallinas 32",2018
93,Pārdošanā gaišs un plašs četru istabu dzīvoklis centrā. +Zemes d,,4,103,2,P. kara,Pardod,"235,000",2281.553398,Dzirnavu,66,"Latvia, Riga,",centrs Dzirnavu 66,centrs,"Latvia, Riga, centrs Dzirnavu 66",2018
94,"Elegants, gaišs, dzīvoklis kapitāli renovētā mājā ar pilno apdari, m",,3,69,2,P. kara,Pardod,"137,340",1990.434783,Tallinas,86,"Latvia, Riga,",centrs Tallinas 86,centrs,"Latvia, Riga, centrs Tallinas 86",2018
94,"Elegants, gaišs, dzīvoklis kapitāli renovētā mājā ar pilno apdari, m",,2,40,2,P. kara,Pardod,"80,000",2000,Tallinas,86,"Latvia, Riga,",centrs Tallinas 86,centrs,"Latvia, Riga, centrs Tallinas 86",2018
94,"Elegants, gaišs, dzīvoklis kapitāli renovētā mājā ar pilno apdari, m",,1,33,2,P. kara,Pardod,"66,900",2027.272727,Tallinas,86,"Latvia, Riga,",centrs Tallinas 86,centrs,"Latvia, Riga, centrs Tallinas 86",2018
95,Pārdod restaurētu dzīvokli. Eļļota restaurēta dēļu grīda guļamistabā,,2,38,2,P. kara,Pardod,"60,700",1597.368421,Avotu,73,"Latvia, Riga,",centrs Avotu 73,centrs,"Latvia, Riga, centrs Avotu 73",2018
96,"Renovētas mūra mājas 2.stāvā 3-istabu ( 23, 4 un 16, 8 un 18, 9m) dz",,3,74,2,P. kara,Pardod,"69,000",932.4324324,Maskavas,88,"Latvia, Riga,",centrs Maskavas 88,centrs,"Latvia, Riga, centrs Maskavas 88",2018
96,Tiek pārdots 2 istabu dzīvoklis pēc kapitālā remonta. 2 atsevišķas,,2,64,2,P. kara,Pardod,"78,300",1223.4375,Avotu,53,"Latvia, Riga,",centrs Avotu 53,centrs,"Latvia, Riga, centrs Avotu 53",2018
98,"Divistabu dzīvoklis izvietots 1910.gadā celtā ēkā, kas celta pēc Mār",,2,89,2,P. kara,Pardod,"159,570",1792.921348,Tērbatas,38,"Latvia, Riga,",centrs Tērbatas 38,centrs,"Latvia, Riga, centrs Tērbatas 38",2018
99,"Pārdod gaišu, plašu divistabu dzīvokli centrā, rekonstruētā un renov",,2,61,2,P. kara,Pardod,"102,000",1672.131148,Stabu,92,"Latvia, Riga,",centrs Stabu 92,centrs,"Latvia, Riga, centrs Stabu 92",2018
100,"Pārdodu dzīvokli ar gāzes apkuri. Fasādes māja, logi gan uz Martas i",,4,100,2,P. kara,Pardod,"130,000",1300,Barona,39,"Latvia, Riga,",centrs Barona 39,centrs,"Latvia, Riga, centrs Barona 39",2018
1,"Ar Autostāvvietu. Izīrē plašu divistabu dzīvokli ar logiem, kas vē",,2,73,2,P. kara,Izire,485,6.643835616,Valdemāra,77,"Latvia, Riga,",centrs Valdemāra 77,centrs,"Latvia, Riga, centrs Valdemāra 77",2018
3,Īpašnieks izīrē 3 istabu dzīvokli ar visām ērtībām pēc kosmētiskā re,,3,83,2,P. kara,Izire,500,6.024096386,Tallinas,84,"Latvia, Riga,",centrs Tallinas 84,centrs,"Latvia, Riga, centrs Tallinas 84",2018
3,"Piedāvājumā burvīgs, renovēts dzīvoklis Upīša pasāžā. Plānojums:",,3,78,2,P. kara,Izire,700,8.974358974,Marijas,16,"Latvia, Riga,",centrs Marijas 16,centrs,"Latvia, Riga, centrs Marijas 16",2018
9,Сдается светлая и уютная двух комнатная квартира с индивидуальным га,,2,40,2,P. kara,Izire,350,8.75,Ģertrūdes,99,"Latvia, Riga,",centrs Ģertrūdes 99,centrs,"Latvia, Riga, centrs Ģertrūdes 99",2018
12,Namīpašnieks bez starpniekiem izīre istabukomunalājā dzīvoklī. Ire.,,0,20,2,P. kara,Izire,135,6.75,Matīsa,42,"Latvia, Riga,",centrs Matīsa 42,centrs,"Latvia, Riga, centrs Matīsa 42",2018
14,"Ipašnieks Izīrē dzīvokli. Apvienotais sanmezgls ar duškabīni, metāla",,1,18,2,P. kara,Izire,195,10.83333333,Pērnavas,39,"Latvia, Riga,",centrs Pērnavas 39,centrs,"Latvia, Riga, centrs Pērnavas 39",2018
14,Īpašnieks izīrē mēbelētu un mājīgu divistabu dzīvokli. Dzīvoklis,,2,43,2,P. kara,Izire,450,10.46511628,Brīvības,181,"Latvia, Riga,",centrs Brīvības 181,centrs,"Latvia, Riga, centrs Brīvības 181",2018
16,560eur/men. Ir iekļauti visi maksaiumi. - Apkure - Elektriba,,2,52,2,P. kara,Izire,560,10.76923077,Skolas,30,"Latvia, Riga,",centrs Skolas 30,centrs,"Latvia, Riga, centrs Skolas 30",2018
17,A great oppurtunity to rent a modern apartment for short time. Apart,,2,46,2,P. kara,Dienas ire,40,0.869565217,Visvalža,3а,"Latvia, Riga,",centrs Visvalža 3а,centrs,"Latvia, Riga, centrs Visvalža 3а",2018
18,Īpašnieks izīrē vienistabas dzīvokli. Cena 200 eur mēnesī + komunāli,,1,25,2,P. kara,Izire,200,8,Pērnavas,49,"Latvia, Riga,",centrs Pērnavas 49,centrs,"Latvia, Riga, centrs Pērnavas 49",2018
23,"Short-term rentals. Studio apartment, fully equipped with furniture",,1,21,2,P. kara,Dienas ire,30,1.428571429,Vārnu,4,"Latvia, Riga,",centrs Vārnu 4,centrs,"Latvia, Riga, centrs Vārnu 4",2018
24,"Izīrēju ļoti mājīgu pilnībā mēbelētu 2 istabu dzīvokli pie TC ""Bērnu",,2,47,2,P. kara,Izire,480,10.21276596,Barona,80,"Latvia, Riga,",centrs Barona 80,centrs,"Latvia, Riga, centrs Barona 80",2018
24,Двухкомнатная квартира-студия с ремонтом и новой мебелью. Находится,,2,40,2,P. kara,Izire,420,10.5,Miera,95А,"Latvia, Riga,",centrs Miera 95А,centrs,"Latvia, Riga, centrs Miera 95А",2018
24,"Izīrē, Dzīvoklis, Rīga, Centrs, Strēlnieku iela, 550 € + komunālie m",,2,60,2,P. kara,Izire,550,9.166666667,Strēlnieku,3,"Latvia, Riga,",centrs Strēlnieku 3,centrs,"Latvia, Riga, centrs Strēlnieku 3",2018
26,"Izīrēju 1 istabas dzīvokli, krāsns apkure. Tualete kāpņu telpā. Ne v",,1,30,2,P. kara,Izire,120,4,Matīsa,71,"Latvia, Riga,",centrs Matīsa 71,centrs,"Latvia, Riga, centrs Matīsa 71",2018
28,"Īpašnieks izīre 1936.gada mājā, pilnībā renovētu, plašu un saulainu",,3,95,2,P. kara,Izire,850,8.947368421,Tallinas,41,"Latvia, Riga,",centrs Tallinas 41,centrs,"Latvia, Riga, centrs Tallinas 41",2018
30,На срок по договоренности сдаем квартиру в центре города. Дом нахо,,1,28,2,P. kara,Izire,200,7.142857143,Matīsa,31,"Latvia, Riga,",centrs Matīsa 31,centrs,"Latvia, Riga, centrs Matīsa 31",2018
34,Bez starpnieka. Kluss dzīvoklis- logi iziet pagalmā. 2 izolētas guļa,,3,59,2,P. kara,Izire,400,6.779661017,Avotu,7,"Latvia, Riga,",centrs Avotu 7,centrs,"Latvia, Riga, centrs Avotu 7",2018
34,"Tikko remontēts, saulains un mājīgs 4 istabu dzīvoklis centrā, Čaka",,4,95,2,P. kara,Izire,752,7.915789474,Čaka,53,"Latvia, Riga,",centrs Čaka 53,centrs,"Latvia, Riga, centrs Čaka 53",2018
43,Парк Эспланада у Старой Риги Наше здание в стиле Art Nouveau нах,,3,77,2,P. kara,Dienas ire,55,0.714285714,Baznīcas,13,"Latvia, Riga,",centrs Baznīcas 13,centrs,"Latvia, Riga, centrs Baznīcas 13",2018
44,Twin or Triple rooms with shared facilities for students. One bathro,,1,18,2,P. kara,Izire,200,11.11111111,Ģertrūdes,54,"Latvia, Riga,",centrs Ģertrūdes 54,centrs,"Latvia, Riga, centrs Ģertrūdes 54",2018
47,"Izīrē divistabu dzīvokli Klusajā Centrā, Lenču iela 2, otrajā stāvā",,2,50,2,P. kara,Izire,580,11.6,Lenču,2,"Latvia, Riga,",centrs Lenču 2,centrs,"Latvia, Riga, centrs Lenču 2",2018
50,Kartīgiem cilvēkiem izīrējam mājīgu vienistabas dzīvokli talajā cent,,1,26,2,P. kara,Izire,190,7.307692308,Valmieras,30,"Latvia, Riga,",centrs Valmieras 30,centrs,"Latvia, Riga, centrs Valmieras 30",2018
51,"Сдаётся 1-ком. квартира с ремонтом - ламинат, стеклопакеты, новая са",,1,35,2,P. kara,Izire,230,6.571428571,Avotu,76,"Latvia, Riga,",centrs Avotu 76,centrs,"Latvia, Riga, centrs Avotu 76",2018
52,Īpašnieks izīrē siltu un gaišu dzīvokli sakoptā ēkā Rīgas centrā. Ēk,,4,101,2,P. kara,Izire,395,3.910891089,Tērbatas,78,"Latvia, Riga,",centrs Tērbatas 78,centrs,"Latvia, Riga, centrs Tērbatas 78",2018
52,Izīrē skaistu plašu dzīvokli ar stāvvietu - renovētā mājā vienā no R,,3,89,2,P. kara,Izire,900,10.11235955,Elizabetes,35,"Latvia, Riga,",centrs Elizabetes 35,centrs,"Latvia, Riga, centrs Elizabetes 35",2018
57,Izīrēju 1-istabas dzīvokli ar jaunu remontu Rīgas centrā. Virtuves,,1,27,2,P. kara,Dienas ire,30,1.111111111,Birznieka-Upīša,15a,"Latvia, Riga,",centrs Birznieka-Upīša 15a,centrs,"Latvia, Riga, centrs Birznieka-Upīša 15a",2018
57,Meklējat īpaši izdevīgo pārnakšņošanas variantu garo un auksto nakšu,,0,20,2,P. kara,Dienas ire,4,0.2,Pūpolu,5,"Latvia, Riga,",centrs Pūpolu 5,centrs,"Latvia, Riga, centrs Pūpolu 5",2018
58,Īrei tiek piedāvāts 3 - istabu dzīvoklis ar kopējo platību 100 kv. m,,3,100,2,P. kara,Izire,"1,100",11,Valdemāra,75,"Latvia, Riga,",centrs Valdemāra 75,centrs,"Latvia, Riga, centrs Valdemāra 75",2018
59,"Address/adrese/адрес : Kalpaka street 10, Riga Floor/stāvs/этаж : 2",,3,124,2,P. kara,Izire,700,5.64516129,Kalpaka bulv.,10,"Latvia, Riga,",centrs Kalpaka bulv. 10,centrs,"Latvia, Riga, centrs Kalpaka bulv. 10",2018
61,Extra monthly payments Only: Eur 80 management fee + electricity fro,,2,61,2,P. kara,Izire,850,13.93442623,Marijas,16,"Latvia, Riga,",centrs Marijas 16,centrs,"Latvia, Riga, centrs Marijas 16",2018
62,Сдается квартира в центре с низкими платежами: (электричество + 20 е,,1,18,2,P. kara,Izire,205,11.38888889,Pērnavas,39,"Latvia, Riga,",centrs Pērnavas 39,centrs,"Latvia, Riga, centrs Pērnavas 39",2018
62,Izīrēju siltu un mājīgu 1 istabas dzīvokli Rīgas centrā. +izolēta,,1,25,2,P. kara,Izire,300,12,Brīvības,133,"Latvia, Riga,",centrs Brīvības 133,centrs,"Latvia, Riga, centrs Brīvības 133",2018
65,Izīrē istabu studentēm Un ne tikai. Visi maksājumi (īre + komunā,,6,25,2,P. kara,Izire,150,6,Tērbatas,20,"Latvia, Riga,",centrs Tērbatas 20,centrs,"Latvia, Riga, centrs Tērbatas 20",2018
66,"Izirē 2-istu dzīvokli, kas atrodas lieliskā vietā – pašā pilsētas si",,2,57,2,P. kara,Izire,450,7.894736842,Elizabetes,9,"Latvia, Riga,",centrs Elizabetes 9,centrs,"Latvia, Riga, centrs Elizabetes 9",2018
