Lapas numurs,Sludinājumidatums_2,Iela,Ist.,m2,Stāvs,Sērija,Veids,Cena,"Cena, m2",Ielas nosaukums,Ielas numurs,Adrese,Iela full,Rajons,Merged,Year
22,Быстрое освобождение. 5 лет назад проводился капитальный ремон,,2,47,1/4,Hrušč.,Pardod,"47,000",1000,Viršu,8,"Latvia, Riga,",Cits Viršu 8,Cits,"Latvia, Riga, Cits Viršu 8",2019
22,Dzīvoklis pēc kosmētiskā remonta - pakešu logi. Viena istaba 1,,2,43,1/1,Specpr.,Pardod,"19,999",465.0930233,Olīvu,100,"Latvia, Riga,",Torņakalns Olīvu 100,Torņakalns,"Latvia, Riga, Torņakalns Olīvu 100",2019
22,"Āgenskalna priedēs pārdodas dzīvoklis bez remonta, bet normālā s",,2,47,4/5,LT proj.,Pardod,"39,000",829.787234,Baldones,26,"Latvia, Riga,",Āgenskalns Baldones 26,Āgenskalns,"Latvia, Riga, Āgenskalns Baldones 26",2019
22,"Pārdodam 2 istabu dzīvokli renovētā mājā, ar balkonu. Dzīvoklis",,2,48,2/5,103.,Pardod,"62,000",1291.666667,Mārkalnes,3,"Latvia, Riga,",Jugla Mārkalnes 3,Jugla,"Latvia, Riga, Jugla Mārkalnes 3",2019
23,"Pārdod nelielu mājīgu saulainu divistabu dzīvokli Purvciemā, Sti",,2,37,5/5,LT proj.,Pardod,"38,000",1027.027027,Stirnu,49A,"Latvia, Riga,",Purvciems Stirnu 49A,Purvciems,"Latvia, Riga, Purvciems Stirnu 49A",2019
23,Продается квартира в Мангали зона Межапарк 2 изолированные ком,,2,49,8/9,467.,Pardod,"47,000",959.1836735,Lēdurgas,22,"Latvia, Riga,",Mangaļi Lēdurgas 22,Mangaļi,"Latvia, Riga, Mangaļi Lēdurgas 22",2019
23,Āgenskalna vēsturiskajā centrā – Mazā Nometņu ielā 17a – renovēt,,2,48,1/3,Renov.,Pardod,"83,125",1731.770833,M. Nometņu 17,A,"Latvia, Riga,",Āgenskalns M. Nometņu 17 A,Āgenskalns,"Latvia, Riga, Āgenskalns M. Nometņu 17 A",2019
23,"Tiek pārdots dzīvoklis lieliskā vietā tuvu centram, bet tai pat",,2,57,2/4,Staļina,Pardod,"57,000",1000,Patversmes,30/2,"Latvia, Riga,",Sarkandaugava Patversmes 30/2,Sarkandaugava,"Latvia, Riga, Sarkandaugava Patversmes 30/2",2019
23,Plašs 2 istabu dzīvoklis ar labu plānojumu un balkonu. Savs cent,,2,69,4/1,Jaun.,Pardod,"88,000",1275.362319,Vējavas,9с,"Latvia, Riga,",Purvciems Vējavas 9с,Purvciems,"Latvia, Riga, Purvciems Vējavas 9с",2019
24,"Pārdodu pilnvērtīgu 2 istabu dzīvokļi, Finiera iela 17. Zeme Īpa",,2,54,5/9,Čehu pr.,Pardod,"34,000",629.6296296,Platā,22,"Latvia, Riga,",Bolderāja Platā 22,Bolderāja,"Latvia, Riga, Bolderāja Platā 22",2019
